# CUTOFF	ENERGY [MeV]	OMEGA [MeV]	PHSH [deg]	ERE [fm^-(2l+1)]	Flag G_C	Flag G_CT	G_C(rmin,rmin) [MeV^-1 fm^-3]	 G_CT(rmin,rmin) [MeV^-1 fm^-3]
0.0	0.6376	0.5	41.93107742144885	0.13513857072947288	0	0	-24.10675021068386	-24.108826647070014
0.0	0.6454	0.5	40.512354445790976	0.14058202797988298	0	0	-24.106752359186718	-24.10895519513445
0.0	0.6532	0.5	39.09542823194613	0.14636149971506024	0	0	-24.106754219167925	-24.109091612789676
0.0	0.6609	0.5	37.7000573404181	0.15242625684637515	0	0	-24.106755893758656	-24.10923483921351
0.0	0.6687	0.5	36.2912183987167	0.15896938409461422	0	0	-24.106757549392047	-24.109389573732727
0.0	0.6765	0.5	34.88784264497458	0.1659571727592537	0	0	-24.106759282616856	-24.109555160131585
0.0	0.6843	0.5	33.49027517438729	0.17344053173019267	0	0	-24.106761202750818	-24.109732934161986
0.0	0.692	0.5	32.11626819398367	0.18137361185921688	0	0	-24.10676337511171	-24.109921912412645
0.0	0.6998	0.5	30.72973776203995	0.19003505711878926	0	0	-24.106765934485853	-24.110128831088318
0.0	0.7076	0.5	29.347889973056457	0.19941407719167503	0	0	-24.106768915320036	-24.11035352198828
0.0	0.7154	0.5	27.969848798018223	0.20961808525696676	0	0	-24.106772358476352	-24.110598615046474
0.0	0.7232	0.5	26.594612947237657	0.22077810895180033	0	0	-24.10677628473848	-24.110867289569665
0.0	0.7309	0.5	25.238730415911295	0.23288979815602512	0	0	-24.106780635764988	-24.111159436365266
0.0	0.7387	0.5	23.86595229958147	0.24646453860435297	0	0	-24.10678550769197	-24.11148737127051
0.0	0.7465	0.5	22.49292051505763	0.26160091482328	0	0	-24.10679081347072	-24.111853439093423
0.0	0.7543	0.5	21.11876911704301	0.2786130608542891	0	0	-24.10679650492127	-24.112265165569692
0.0	0.762	0.5	19.760428532775617	0.29764005120042275	0	0	-24.10680244282899	-24.11272581701014
0.0	0.7698	0.5	18.38205739587555	0.3196945459290991	0	0	-24.10680871240537	-24.113259790112497
0.0	0.7776	0.5	17.00088354021302	0.3452395693289203	0	0	-24.106815161926296	-24.11387815071446
0.0	0.7854	0.5	15.616670921716475	0.37521764372940275	0	0	-24.10682171068289	-24.11460354456673
0.0	0.7931	0.5	14.247140809469922	0.4104396114544571	0	0	-24.106828192509123	-24.1154554075938
0.0	0.8009	0.5	12.856766415939335	0.4536791180756463	0	0	-24.106834695387274	-24.116500606362685
0.0	0.8087	0.5	11.463465457464652	0.5073091890457087	0	0	-24.10684105714101	-24.117796250537822
0.0	0.8165	0.5	10.067467575221004	0.5756743631036395	0	0	-24.106847205300298	-24.119447027669548
0.0	0.8242	0.5	8.686992897818078	0.6645921936435879	0	0	-24.106853001524538	-24.12159312752863
0.0	0.832	0.5	7.2864779359986365	0.7888706909611565	0	0	-24.106858540804037	-24.124591614459387
0.0	0.8398	0.5	5.884123700146203	0.9721364820072937	0	0	-24.106863700057573	-24.12901212760851
0.0	0.8476	0.5	4.4801858029219215	1.2699309870913507	0	0	-24.10686844474197	-24.136193912817344
0.0	0.8553	0.5	3.0928939281091314	1.828892701935074	0	0	-24.106872699942432	-24.149672864211606
0.0	0.8631	0.5	1.6863541212544653	3.33287999313507	0	0	-24.10687656606612	-24.18593899554889
0.0	0.8709	0.5	0.2786450059633294	20.03062902823042	0	0	-24.10687998704944	-24.58857482508638
0.0	0.8787	0.5	-1.1302355091716259	-4.901267413512721	0	0	-24.106882976894696	-23.98738657312976
0.0	0.8864	0.5	-2.5222705491299893	-2.1787581425305182	0	0	-24.106885530160884	-24.053033987173652
0.0	0.8942	0.5	-3.9337433305208327	-1.3848717547346676	0	0	-24.10688774821383	-24.072175794171866
0.0	0.902	0.5	-5.34675562962819	-1.0094014870586103	0	0	-24.106889639657762	-24.08122795563282
0.0	0.9098	0.5	-6.761506995122072	-0.7902434528905244	0	0	-24.106891256200573	-24.08651068440879
0.0	0.9175	0.5	-8.160029722938392	-0.6479213351601975	0	0	-24.106892638428562	-24.089940492551204
0.0	0.9253	0.5	-9.578844689209603	-0.5456776195046016	0	0	-24.10689388283729	-24.09240372843579
0.0	0.9331	0.5	-10.999970747126207	-0.4694186005399909	0	0	-24.106895033433073	-24.09424032438001
0.0	0.9409	0.5	-12.423530260334749	-0.4102602264479028	0	0	-24.10689615357328	-24.095664566149193
0.0	0.9487	0.5	-13.849585279002538	-0.36295420185687344	0	0	-24.106897304945427	-24.09680306815217
0.0	0.9564	0.5	-15.259797012081222	-0.32465369764109897	0	0	-24.106898529189955	-24.097724560166547
0.0	0.9642	0.5	-16.690710152618202	-0.292203899292329	0	0	-24.10689991108499	-24.098505114021673
0.0	0.972	0.5	-18.123863027091126	-0.2646486938815209	0	0	-24.106901482909407	-24.099167859286457
0.0	0.9798	0.5	-19.559017063859024	-0.240922170359412	0	0	-24.10690328501433	-24.099738538432092
0.0	0.9875	0.5	-20.977435251257532	-0.22049560271064805	0	0	-24.106905321590748	-24.100229945661262
0.0	0.9953	0.5	-22.415600540320085	-0.20226366247263594	0	0	-24.10690766933896	-24.100668727721654
0.0	1.0031	0.5	-23.854697410037446	-0.1860665179564847	0	0	-24.106910318978827	-24.101058770459666
0.0	1.0109	0.5	-25.294296417438566	-0.17156047891839477	0	0	-24.106913277234344	-24.101408367704636
